iter	RMSE
0	986.0118919
1	969.0796928
2	951.3510723
3	935.7289284
4	920.4395369
5	906.1040065
6	892.3691753
7	880.1718192
8	868.910158
9	859.5413734
10	849.8563662
11	840.5672221
12	832.4083651
13	822.970135
14	814.7232418
15	806.9516593
16	800.5494192
17	793.6388273
18	786.4961264
19	779.5043674
20	773.7875525
21	768.2626695
22	762.1984714
23	756.2606149
24	751.0444753
25	746.58585
26	743.7605297
27	739.7396733
28	735.386973
29	730.3976086
30	726.6469866
31	722.8765251
32	720.5696004
33	717.1996194
34	713.8767675
35	711.4711078
36	707.6896683
37	705.212998
38	701.762515
39	699.0748508
40	696.3570191
41	693.2993016
42	691.0928543
43	689.2122813
44	686.4591444
45	684.3163183
46	683.0616198
47	681.8509986
48	679.3769926
49	677.5363676
50	676.2822244
51	674.073569
52	673.3041151
53	670.7227591
54	668.4956773
55	667.9710279
56	665.8871128
57	664.5248339
58	663.0928128
59	661.9663222
60	660.365971
61	658.3422735
62	656.1237628
63	653.9506787
64	653.2557977
65	651.463571
66	649.7669567
67	647.5976117
68	646.3377372
69	644.6882816
70	643.4438288
71	641.6658161
72	639.9172434
73	638.672858
74	636.9263509
75	636.6150066
76	635.5014077
77	634.552212
78	633.6930042
79	632.6956955
80	631.3516468
81	630.1100744
82	629.9417029
83	628.5681207
84	627.6505834
85	627.0235946
86	625.160152
87	623.8801104
88	622.4528961
89	622.3888829
90	621.4811845
91	619.9801388
92	619.624491
93	618.8954424
94	617.5933683
95	616.5810539
96	615.9606876
97	615.0703451
98	614.6199208
99	614.1351962
100	613.1220651
101	611.7342432
102	611.0778969
103	610.4779227
104	609.7058436
105	608.7931488
106	608.4218093
107	607.7345912
108	606.7607986
109	606.0772616
110	606.0111951
111	605.4995993
112	604.8269563
113	604.1920874
114	603.7948619
115	602.8642093
116	602.4051793
117	601.4803959
118	600.6032262
119	598.9965465
120	598.1353706
121	597.1602078
122	596.5510349
123	595.3595058
124	594.156314
125	593.0663422
126	592.6971253
127	592.6097152
128	592.5494271
129	591.984499
130	591.8651476
131	590.9177309
132	590.1239484
133	589.7815481
134	588.9639291
135	588.8662753
136	587.3557562
