iter	RMSE
0	988.6142014
1	973.8307217
2	959.9612329
3	946.5695752
4	933.9084643
5	922.5629688
6	910.898802
7	900.7675159
8	891.4051476
9	881.2331823
10	873.2891173
11	864.8596395
12	855.7486345
13	847.2136106
14	840.5717009
15	834.0377572
16	828.0140664
17	822.515558
18	815.8289902
19	810.8693229
20	805.8306395
21	800.3197155
22	794.9400767
23	788.6177284
24	784.5331071
25	779.6229104
26	775.2614233
27	771.4974744
28	768.3026875
29	766.0054267
30	762.9466098
31	760.4264799
32	757.6804645
33	754.4374869
34	751.9376017
35	749.5190615
36	747.0233742
37	744.59614
38	742.3506386
39	739.990514
40	737.2493659
41	734.8260565
42	732.8495552
43	731.3802959
44	729.4897492
45	728.3681196
46	727.4212308
47	725.1744888
48	723.275149
49	721.7627115
50	720.1426329
51	719.1977829
52	718.2150533
53	717.3837543
54	715.5168158
55	713.7170857
56	712.2082203
57	709.7630646
58	709.5902159
59	707.5388717
60	706.552969
61	704.9508396
62	704.2911051
63	703.9679694
64	702.9166408
65	701.3015071
66	700.6361815
67	699.5598056
68	698.6698567
69	697.2146827
70	695.8101217
71	694.7973608
72	694.1792728
73	693.245677
74	691.9421941
75	691.1583343
76	690.0689366
77	689.209607
78	688.0448002
79	687.514335
80	686.3691627
81	685.4701263
82	684.5036559
83	684.1952479
84	683.6660978
85	683.4669119
86	681.7891687
87	680.6252316
88	679.7762608
89	678.6509687
90	677.4890202
91	676.2558687
92	676.1128807
93	675.3437469
94	674.4098946
95	674.2048621
96	672.9785126
97	672.4431895
98	671.8545011
99	671.0986602
100	670.7774828
101	670.0255482
102	669.8655996
103	669.5960152
104	669.4627638
105	668.4535856
106	667.658243
107	667.1571529
108	666.2070867
109	665.3311721
110	664.3390642
111	663.8381565
112	662.8834517
113	662.0714966
114	660.8638731
115	660.431291
116	659.5760373
117	658.922055
118	658.1217481
119	657.1052382
120	656.3075857
121	655.9634435
122	655.3767364
123	654.5633779
124	653.9570652
125	653.2999491
126	652.6596266
127	652.02478
128	651.3489773
129	650.7355416
130	650.1828702
131	650.1306053
132	649.3476364
133	649.3470627
134	649.1465891
135	649.1401855
136	648.8726574
137	648.388107
138	647.6211674
139	647.5144029
140	646.8992103
141	645.7357561
142	644.7245346
143	644.3804138
144	643.8438186
145	643.8025516
146	643.1438103
147	643.1268286
148	642.6497842
149	642.5321233
150	642.0280062
151	642.0279757
152	641.5292392
153	640.7906574
154	640.4167761
155	640.0487114
156	639.5604495
157	639.4678241
158	639.1783942
159	637.9185823
160	637.1094036
161	637.1094036
162	637.0405842
163	637.0405534
164	636.7261855
165	636.7230444
166	635.9420062
167	635.1676018
168	634.6522902
169	634.623804
170	634.6237113
171	634.162347
172	633.4329127
173	633.1290486
174	632.6063733
175	632.6062493
176	632.6024679
177	632.6023749
178	632.6022819
179	632.6006701
180	631.9073524
181	631.2055071
182	631.2053518
183	630.6857146
184	630.6855281
185	630.1469794
186	629.8080629
187	629.8078761
188	629.8066619
189	629.8065062
190	628.9221405
191	628.9219223
192	628.9217352
193	628.8580064
194	628.1145768
195	628.1133281
196	628.1122043
197	628.112017
198	628.0447717
199	628.0445844
200	628.0443659
201	628.0442098
202	627.5444832
203	626.5119125
204	626.511756
205	625.8688079
206	625.1429954
207	624.8000151
208	624.7997954
209	624.0158369
210	623.3783354
211	623.3779579
212	622.4859712
213	622.4857192
214	621.1139897
215	621.1136425
216	621.1133584
217	620.5342417
218	620.3176606
219	619.6839169
220	619.6835056
221	619.6830942
222	619.6827462
223	619.6823981
224	619.0651713
225	619.0649812
226	619.0646645
227	619.0643794
228	619.0641577
229	619.0639043
230	618.407696
231	618.4075057
232	618.4073155
233	618.3789371
234	618.3787785
235	618.3785883
236	617.9176923
237	617.2541981
238	617.2222405
239	617.2221452
240	616.8946902
241	616.8945631
